,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,Mbalee__Omuhle,"Midrand, South Africa 🌍",5747,6134,26522,Sat Mar 14 18:45:48 +0000 2020,0,No Corona virus formed against you shall prosper 🤞 #DSTVMVCA https://t.co/LxYkq5Gmvj https://t.co/LGEbjC6dal,['DSTVMVCA']
1,TheDestinyMan,Cape Town,1820,1708,73707,Sat Mar 14 18:50:06 +0000 2020,0,"People need to stick within the PROVEN FOOD CHAINS than exploring fancy meats that mingle bats 🦇 , bats who live in caves never seen and hence  carry ancient viruses 🦠 , stick with chicken etc #coronavirus #coronavirusinsa https://t.co/IreLMQfWuS","['coronavirus', 'coronavirusinsa']"
2,OmarKiyow,"Johannesburg, South Africa",3221,1542,3566,Sat Mar 14 18:53:53 +0000 2020,0,"Confirmed COVID-19 cases in SA rise to 38 

https://t.co/cUmrb48I7A",[]
3,Siya_May,,3355,1201,3889,Sat Mar 14 18:55:16 +0000 2020,0,@2OceansMarathon  you not going to say anything at all?? #CoronaVirusUpdates #covid19SA #CoronaOutbreak #CoronavirusPandemic #CoronavirusInSA #coronavirus @DrZweliMkhize @CyriIRamaphosa @CityofCapeTown_  you all going to allow Two Oceans to go on?! https://t.co/iUfKMzQuK0,"['CoronaVirusUpdates', 'covid19SA', 'CoronaOutbreak', 'CoronavirusPandemic', 'CoronavirusInSA', 'coronavirus']"
4,Weazle2001,Centre the Universe - Benoni,706,1317,29046,Sat Mar 14 18:55:17 +0000 2020,0,@bbculp Corona free puppy https://t.co/dg2PZh75xJ,[]
5,NdlovuNerissah,"Johannesburg, South Africa",349,55,2026,Sat Mar 14 18:55:20 +0000 2020,0,Just had the best of laughs for the day..A friend of mine just said Coronavirus hasn't yet been supplied in their country 😂😂😂😂😂😂😂Supplied !..my ribs yooh 😂😂😂😂,[]
6,JABUBABY,"Kwa-Thema, South Africa",3001,3815,4264,Sat Mar 14 18:56:54 +0000 2020,0,If Coronavirus was a person 🤣🤣 #DSTVMVCA https://t.co/VhmCfWfUZ3,['DSTVMVCA']
7,BrianNyezi,"Johannesburg, South Africa",1074,1828,9193,Sat Mar 14 18:59:17 +0000 2020,0,"Just for the sake of peace and coronavirus, Downs will win the Nedbank Cup, in addition to Telekom Cup. KC will win the league, 50th anniversary!! @LeboJood https://t.co/pEar0ks6D3",[]
8,Given23678414,"Johannesburg, South Africa",2872,390,5912,Sat Mar 14 18:59:37 +0000 2020,0,Thanks god for providing us a rain in tembisa i command a pefection of this rain to remove a corona virus in this world amen https://t.co/u828Aaew9a,[]
9,FredAngasisye,World wide,875,320,1900,Sat Mar 14 18:59:44 +0000 2020,0,"That Asian fella in the ""golden circle"" is suspiciously close to @casspernyovest #coronavirus lol.Kiddin https://t.co/U7X8BiwNbX",['coronavirus']
