,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,CarollZA,South Africa,3955,1462,4414,Tue Apr 28 19:46:06 +0000 2020,1,"Like I always said, black children are endangered species @CyrilRamaphosa your children are suffering, just 1 billion of those many billions you promised for #Covid19 will solve their problems... imagine walking 4 hours to school... 12kms to buy bread @PresidencyZA #CuttingEdge","['Covid19', 'CuttingEdge']"
1,Victor_MKH,"Cape Town, South Africa",821,6708,170486,Tue Apr 28 19:48:07 +0000 2020,15,Free State had been declared by Minister Mkhize as the province in the country to have dealt with Covid-19 the best way ever. Wow!! My province bandla!!!! 🙌🏾🙌🏾🙌🏾🙌🏾,[]
2,RaophalaM,Tzaneen,3522,1327,2680,Tue Apr 28 19:49:16 +0000 2020,0,"Donald Trump is having hard time of his life as US breached 1 million confirmed Covid-19 cases.
#CoronavirusOutbreak",['CoronavirusOutbreak']
3,Kwena_Lebogang,"Johannesburg, South Africa",484,967,1895,Tue Apr 28 19:52:14 +0000 2020,1,Female leaders are rising to the occasion in successfully managing the COVID-19 pandemic. Tomorrow 3pm SAST on #SAPPurposeNetwork Live we will  engage female leaders and entrepreneurs on how they are innovating amidst #COVID19 join the conversation here: https://t.co/bWwRMVyZkg https://t.co/Q0ZyD22q3c,"['SAPPurposeNetwork', 'COVID19']"
4,MsHfk,SOUTH AFRICA,991,1948,38710,Tue Apr 28 19:54:03 +0000 2020,0,My child is asleep before 10 Amen... she’s literally been getting to bed at 2am... sleeping patterns on some covid tip! 😊🎧👩🏽‍💻 yay I can work!,[]
5,TheBlackspice,Johannesburg,4980,2335,87611,Tue Apr 28 19:58:30 +0000 2020,1,"There is a need an investigation on has happened in the #EasternCape since 1994.This can't be right. We joke about it and move on.There is so much looting of state resources that has not been exposed.Maybe a special Commission of Enquiry for Eastern Cape 
#CuttingEdge #Covid_19","['EasternCape', 'CuttingEdge', 'Covid_19']"
6,shandu009,"MIDRAND,SOUTH AFRICA",2845,2790,94239,Tue Apr 28 20:00:30 +0000 2020,1,"@MduduziMats Just to improve your awareness if you may have infection.
Pretty much something like: do u have fever, headache, cough, have u traveled, been in contact with #Covid19",['Covid19']
7,Siviwe_G,Cape Town,2322,6824,10675,Tue Apr 28 20:03:07 +0000 2020,3,"Ive been hanging around for this technical briefing since 7pm. It’s now 10pm; we are still getting reports from all 9 MECs and we are yet to get to the questions from media.

Andidinwe. 

#Covid19SA https://t.co/IUsHNEM0Lt",['Covid19SA']
8,MTshwaku,"Johannesburg, South Africa",9115,13554,29158,Tue Apr 28 20:03:17 +0000 2020,0,"@matinyarare @Lesufi @educationgp It’s sad my brother! Forget about these ones. I mean we could model COVID-19 and do stats since we have done actuarial maths , but they will never ask for a black intelligentsia but a white and Indian guys",[]
9,LizemarieWium,"Pretoria, South Africa",175,164,197,Tue Apr 28 20:03:57 +0000 2020,2,Thank you @nelson_piercy warning us against COVID centricity. Remember the usual pathology while looking for COVID in our patients @ObsMedEd @M0MSuk webinar.,[]
